,DNA16S_1,DNA16S_2,DNA16S_3,DNA16S_4,DNA16S_5,DNA16S_6,DNA16S_8,DNA16S_9,DNA16S_10,DNA16S_11,DNA16S_12,DNA16S_13,DNA16S_14,DNA16S_15,DNA16S_16,DNA16S_17,DNA16S_18,DNA16S_20,DNA16S_21,DNA16S_22,DNA16S_23,DNA16S_24,DNA16S_25,DNA16S_26,DNA16S_27,DNA16S_28,DNA16S_29,DNA16S_31,DNA16S_33,DNA16S_34,DNA16S_35,DNA16S_36,DNA16S_37,DNA16S_38,DNA16S_39,DNA16S_40,DNA16S_41,DNA16S_42,DNA16S_43,DNA16S_44,DNA16S_45,DNA16S_46,DNA16S_47,DNA16S_48,DNA16S_49,DNA16S_50,DNA16S_51,DNA16S_52,DNA16S_53,DNA16S_54,DNA16S_55,DNA16S_56,DNA16S_57,DNA16S_58,DNA16S_59,DNA16S_60
OTU132,0.128762273,0.112956226,0.126101815,0.132018506,0.119634571,0.161581903,0.020069575,0.097321346,0.103639431,0.109734615,0,0.058687599,0,0.10373444,0,0,0,0.073270396,0.097598383,0,0.14395562,0,0.074448615,0.043876327,0,0.171653679,0.082936905,0.093149293,0,0.113294024,0.083655084,0.083905416,0.065454545,0.081635355,0.096187142,0.084786375,0.045282617,0,0.022605,0.02746942,0.080260503,0,0,0.094055227,0.032567986,0.11639411,0.186857301,0,0.1416122,0.052126418,0.065665761,0.039245768,0.0947998,0.045811144,0,0.004224757
OTU133,0.373117949,0.566248093,0.561153075,0.81621876,0.418116783,0.66232582,1.960128445,2.530354991,0.090383225,0.78835658,2.61749651,0.018339875,0,0,0,0,0,0.022544737,0.815643626,0,0.008777782,0.292924741,2.221050346,1.649749905,1.891122739,0.755770157,1.276915373,1.318909306,2.591711531,1.065993769,0.021450021,1.009916095,0.751515152,0.371771818,0,0.077413647,0.02397315,0.02858613,1.139292011,0.471827686,0.020638415,0.904756745,1.766047829,0,0,0.757725659,0.29656062,0.546700273,0.374455338,0.54052829,1.137211593,0.731398398,1.883930572,2.662772719,1.518263821,1.237853823
OTU134,0.036580191,0.041074991,0.030264436,0,0.02175174,0.031996416,0,0,0.002410219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009879348,0.004694542,0,0,0,0,0.012204424,0,0,0.007694971,0,0,0.008575839,0.013563,0,0,0.005417705,0,0,0,0,0.014466372,0.003550002,0,0,0,0,0,0,0,0
OTU135,0.212165108,0.133493721,0.128623851,0.117094674,0.138969451,0.172780649,0.113727589,0.037074798,0.024102193,0.03754079,0.16286645,0.106371272,0.050893823,0.079035764,0.144092219,0,0,0,0.017428283,0.142413257,0.022822232,0.022532672,0.006204051,0.131628982,0,0.160539412,0.037556335,0.021170294,0.093902592,0.211138862,0.038610039,0.068649886,0,0.019857248,0.023084914,0.099531832,0.066592084,0.062889486,0.018084,0,0,0,0,0.014470035,0,0.002327882,0.014466372,0,0.002723312,0,0.050741725,0.016055087,0.013789062,0.040084751,0,0.008449514
OTU136,0.203385862,0.159899073,0.213112067,0.120538636,0.100299691,0.143983874,0.167246454,0.273426638,0.228970836,0.245459008,0.16286645,0.080695448,0.184490108,0.143252322,0.378242075,0,0.262513126,0.140904608,0.041827878,0,0.057933359,0.058584948,0.102366846,0.078977389,0.261635913,0.124726774,0.118928393,0.143957998,0.043821209,0.144192394,0.274560275,0.160183066,0.130909091,0.022063609,0.146204455,0.110590924,0.146502584,0.100051455,0.040689,0.087255805,0.112364704,0.04334164,0.08653241,0.079585192,0.032567986,0.046557644,0.095236947,0.209450105,0.130718954,0.066857797,0.091036624,0.071355941,0.081010738,0.148886217,0.110743949,0.10139417
OTU137,0.002926415,0.00733482,0.037830544,0.017219805,0.0241686,0.006399283,0.046829007,0.037074798,0.065075922,0.020214271,0,0,0,0,0.054034582,0,0,0.030999014,0,0.038839979,0.031600014,0.022532672,0.037224307,0,0.03672083,0.033342801,0.06885328,0.042340588,0.031300864,0.056647012,0.019305019,0.004576659,0.029090909,0.013238166,0.023084914,0,0.0159821,0.014293065,0,0.003231696,0,0,0.015733166,0,0,0,0.004822124,0,0,0.005665915,0.032832881,0.021406782,0.022407225,0,0.014289542,0.004224757
OTU138,0.017558492,0.080683018,0.056745817,0.018367792,0.03021075,0.052794087,0,0.013903049,0,0.011551012,0,0,0.057255551,0,0,0,0,0.008454276,0.013942626,0,0.017555563,0,0.006204051,0,0.013770311,0.065450684,0.028167251,0.016936235,0,0.041197827,0.021450021,0.027459954,0,0.020960429,0,0.014745457,0,0,0,0.019390179,0.009172629,0,0,0.05788014,0,0.04190188,0.307410399,0,0.182461874,0,0.002984807,0,0.020683593,0,0,0.021123785
OTU139,0.008779246,0.005867856,0.012610181,0.016071818,0.0120843,0.01919785,0,0,0.013256206,0,0,0,0,0,0,0,0,0,0,0.032366649,0.007022225,0,0,0,0,0.007409511,0.03442664,0.004234059,0,0.023173778,0,0.018306636,0.021818182,0.007722263,0,0.055295462,0.010654733,0.020010291,0.009042,0.004847545,0,0,0,0.004823345,0.008141996,0.012803352,0.021699558,0,0.004084967,0.003399549,0.002984807,0.003567797,0.008618164,0,0,0
OTU140,0.294104736,0.18483746,0.320298609,0.254853115,0.265854602,0.321563985,0.214075462,0.143664844,0.397686189,0.329203846,0.093066543,0.264094194,0.489853044,0.133372851,0.126080692,0.094221106,0.10500525,0.154995068,0.181254139,0.161833247,0.258066781,0.094637224,0.136489127,0.13455407,0.128522905,0.244513874,0.10327992,0.199000762,0.075122073,0.198264542,0.25954526,0.317315027,0.172121212,0.303374629,0.130814513,0.173259115,0.229076767,0.254416557,0.162756002,0.155121431,0.256833609,0.211290497,0.165198238,0.315929097,0.048851979,0.125705639,0.144663717,0.429550215,0.420751634,0.320690788,0.226845357,0.208716128,0.144785149,0.246234897,0.164329731,0.249260668
OTU141,2.31040487,7.186656496,3.581291535,3.961703154,4.503818639,2.580510983,1.572116671,2.173510057,2.578934683,1.588264172,1.105165193,2.593258262,4.650423055,3.151551077,1.368876081,2.198492462,3.745187259,6.044807665,6.591376486,3.540911445,5.584424704,3.019378098,3.976796848,2.705706848,1.294409254,3.91098707,0.178392589,4.845880261,1.28333542,1.846177614,0.896610897,1.38215103,1.367272727,0.82186945,1.862183063,1.688354776,0.282350434,0.874735578,0.718839007,3.230080631,1.128233352,1.988297757,2.261642542,2.245267093,7.024507409,6.285281965,5.580402888,3.431076716,4.656862745,6.996271828,3.623556099,5.7102592,2.016650292,2.903281223,3.129409663,2.262357414
OTU142,0.452131162,0.277256191,0.443878387,0.402943439,0.247728152,0.452749292,0.013379716,0.245620539,1.160520607,0,0,1.122400323,0.32444812,0.419877495,0.468299712,0,0,0.74679442,0,0.317193164,0.012288894,0.617395223,0.679343611,0.409512388,0.830808776,0.548303839,0.685403105,0.861630959,0.826342807,0.370780441,0.712140712,0.864988558,0.303030303,0.350811389,0.438613366,0.431304604,0.623301902,0.351609399,0.370722004,0.208444423,1.068611264,0.035215083,0.149465072,0.385867599,0,0.815922714,0.159130089,0.575100288,1.010348584,0.223237051,0.662627227,0,3.97986797,0.429479471,0.310797535,0.610477398
OTU143,0.955474591,0.657199859,1.05421117,1.038928239,1.044083527,1.067080487,0.314423334,1.784224673,0.650759219,1.533396864,0.837598883,1.452518065,1.393218398,1.234933808,0,1.601758794,0.0700035,1.316049035,1.436090488,2.20093216,1.320178365,0.950878774,1.312156838,2.255243221,1.533094648,1.068204552,0.865360541,0.717672961,0.807562289,1.220485619,1.177606178,1.502669718,1.549090909,0.933290677,1.177330614,0.7299001,1.022854403,0.877594191,1.95759302,2.645143568,1.160337553,2.205005959,2.749370673,3.47039672,2.43242143,1.762206832,1.644344251,2.424651212,1.869553377,1.884483325,1.283467152,0.965089106,1.020390575,0.818874191,1.014557471,1.698352345
OTU144,0.139004726,0.083616946,0.080705161,0.205489674,0.109967131,0.217575632,0,0.050977848,1.458182695,0.063530567,0.116333178,0.139383047,0.159043196,0.148192057,0,0.172738693,0.0700035,0.045089474,0.1603402,0.233039876,0.05266669,0.193780982,0.077550641,0.052651593,0.192784357,0.107437914,0.064158738,0.065627911,0.118943283,0.167366171,0.023595024,0.155606407,0.08969697,0.133484837,0.057712285,0.243300033,0.021309467,0.120061746,0.510873005,0.069481474,0.341680426,0.249214433,0.192731278,0.101290245,0.02239049,0.169935401,0.036165929,0.049700025,0.140250545,0.071390529,0.15073277,0.117737303,0.122377924,0.068716715,0.046441011,0.042247571
OTU145,0,0,0.002522036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU146,0.750625521,1.249853304,0.788136341,0.687644216,0.750435035,0.79991041,0.468290072,0.509778478,0.664015425,0.814346357,0.697999069,0.979349301,1.609517145,0.765658961,0.954610951,2.198492462,0.892544627,1.03423982,1.467461396,0.835059555,1.281556125,0.671473637,1.014362379,0.4826396,0.30753695,0.65080208,0.255070105,0.493267847,0.78878177,0.811082215,0.225225225,0.527841342,1.093333333,0.942116121,0.881074218,1.297600177,1.129401737,0.788977188,1.152855012,1.567372792,1.167217024,1.603640698,1.250786658,1.495236947,2.186126038,1.684222778,1.3465781,0.974475487,1.01171024,1.547927975,0.750679044,1.036445047,0.293017564,0.54400733,0.467982495,1.085762569
OTU147,0.004389623,0,0.005044073,0,0,0,0,0,0,0.040428543,0,0,0,0,0,0,0,0,0,0,0,0,0.021714179,0,0,0.006174593,0,0.025404353,0,0,0,0.006102212,0.007272727,0,0.023084914,0,0,0,0.253176003,0,0.05732893,0,0.051132788,0,0,0.025606704,0,0,0,0,0.005969615,0,0.03791992,0,0,0.033798057
OTU148,0.045359437,0.024938388,0.011349163,0.032143636,0.00966744,0.014398387,0.013379716,0.0092687,0.008435768,0.005775506,0.023266636,0,0.025446911,0.014819206,0,0,0,0,0,0.038839979,0.003511113,0,0,0,0,0.030872964,0.014083625,0.014819206,0,0.010299457,0.006435006,0.009153318,0.012121212,0.015444527,0.007694971,0.040550006,0.0319642,0.040020582,0.009042,0.004847545,0.004586314,0.005417705,0,0.004823345,0.004070998,0.02095094,0.008438717,0,0.004084967,0,0,0.008919493,0,0,0,0.01478665
OTU149,0.019021699,0,0,0.002295974,0.00604215,0.020797671,0,0,0.003615329,0,0,0.011003925,0,0.014819206,0,0,0,0.005636184,0,0,0.005266669,0,0.120978999,0.005850177,0.096392178,0.029638045,0.025037556,0.027521382,0.050081382,0,0.102960103,0.003051106,0,0.002206361,0.073102228,0.018431821,0.114538384,0,0.081378001,0.038780358,0.142175748,0,0.011799874,0.033763415,0,0.080311936,0.02411062,0.005325003,0.005446623,0,0.01641644,0.003567797,0.101694331,0,0.016075735,0
OTU150,0.011705661,0.013202676,0.02017629,0.018367792,0.01329273,0.006399283,0.026759433,0,0.019281755,0.008663259,0.023266636,0,0,0,0,0,0,0,0.006971313,0.01294666,0.008777782,0,0,0,0.009180207,0.007409511,0.018778167,0,0,0,0,0.025934401,0,0,0,0,0,0,0,0.012926786,0,0,0,0.004823345,0,0.029098528,0.004822124,0,0,0.005665915,0.004477211,0,0,0,0.003572385,0.004224757
OTU151,0.014632076,0.013202676,0.044135635,0.013775844,0.00241686,0.007999104,0.026759433,0.013903049,0.008435768,0,0.034899953,0,0,0.014819206,0,0,0,0.005636184,0,0.01294666,0.003511113,0,0.043428359,0.005850177,0.03672083,0.006174593,0.003129695,0,0,0.007724593,0.010725011,0,0.004848485,0.002206361,0.007694971,0.014745457,0.010654733,0,0.027126,0.003231696,0,0,0.011799874,0,0.010177496,0.012803352,0.028932743,0.005325003,0.017701525,0.04532732,0.005969615,0.010703391,0.012065429,0.017179179,0.010717156,0.004224757
OTU152,0.095108497,0.082149982,0.063050907,0.050511428,0.0362529,0.086390324,0.093658014,0.037074798,0.263919017,0.031765283,0.034899953,0,0.044532095,0.029638411,0,0.047110553,0.227511376,0.081724672,0.013942626,0.051786639,0.026333345,0,0.037224307,0,0,0.029638045,0,0.057159793,0.037561037,0.015449185,0.064350064,0.04576659,0.016969697,0.041920858,0.050017314,0.066354555,0.045282617,0.034303356,0.122067001,0.053322992,0.137589433,0.127316069,0,0.0964669,0.014248494,0.015131234,0.016877434,0.047925024,0.040849673,0.028329575,0.017908844,0,0.072392575,0.034358358,0.003572385,0.147866498
OTU153,0.108277366,0.055744631,0.110969597,0.171050064,0.112383991,0.094389428,0.120417447,0.027806099,0.100024102,0.017326518,0.034899953,0.095367348,0,0.034578147,0.036023055,0.031407035,0.052502625,0.061998027,0.006971313,0.058259969,0.042133352,0.238846327,0.142693179,0.362710972,0.114752593,0.106202996,0.380257887,0.105851469,0.025040691,0,0.227370227,0.067124333,0.084848485,0.056262204,0.038474857,0.103218196,0.026636833,0.045737808,0.036168,0.142194645,0.185745735,0.04334164,0.070799245,0.043410105,0.046816479,0.060524937,0.124169691,0.236075118,0.100762527,0.2266366,0.052234128,0.219419519,0.163745109,0.171791788,0.0982406,0.082382763
OTU154,0.317516059,0.198040136,0.310210464,0.451158893,0.427784223,0.550338362,0.180626171,0.069515247,0.17956134,0.56022409,0.034899953,0.22374647,0.031808639,0.088915234,0.162103746,0,0,0.171903621,0.118512322,0.129466598,0.319511253,0.112663362,0.214039768,0.61719367,0.156063527,0.484088074,0.348960941,0.281564908,0.125203456,0.257486418,0.422565423,0.340198322,0.123636364,0.189747041,0.123119541,0.132709109,0.157157317,0.128637585,0.063294001,0.096950894,0.171986791,0.113771806,0.039332914,0.113348607,0.030532487,0.151312344,0.207351328,0.236075118,0.330882353,0.132582411,0.146255559,0.090978825,0.143061516,0.206150146,0.11788872,0.175327419
OTU155,0.002926415,0.004400892,0.005044073,0.005739935,0.01329273,0.003199642,0,0,0.004820439,0.005775506,0,0,0,0,0,0,0,0,0,0,0.01931112,0.009013069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009042,0,0,0,0,0.007235017,0,0.009311529,0,0,0.008169935,0,0,0,0,0,0,0.010561893
OTU156,0.079013213,0.074815163,0.098359415,0.086099025,0.123259861,0.13598477,0.060208724,0.027806099,0.365148228,0.014438765,0.058166589,0.00733595,0,0.049397352,0,0,0,0.03945329,0.034856565,0,0.066711141,0.036052276,0.074448615,0.035101062,0.07344166,0.121022019,0.092325989,0.076213058,0,0.005149728,0.023595024,0.033562166,0.029090909,0.026476331,0.030779885,0.081100011,0.0159821,0.031444743,0.049731,0.040396206,0.034397358,0.018961968,0.039332914,0.01929338,0.008141996,0.064016761,0.08679823,0.028400014,0.046296296,0.028329575,0.055218936,0.032110174,0.043090818,0.137433431,0.035723855,0.107731305
OTU157,0.197533032,0.623459688,0.296339264,0.343248114,0.387906032,0.127985666,0,0.389285383,0.009640877,0.190591701,0,0,0.038170367,1.175656985,0,1.30339196,0,0,0.017428283,0.802692905,0.014044451,0,0.341222819,0.450463627,0.720646287,0.029638045,0.025037556,0.228639174,0.012520346,0,0.042900043,0.163234172,0.021818182,0.083841716,0,0.125336381,0.466144585,0.17151678,0.289344003,0.219755361,0,0.027088525,0.385462555,0.016881707,0.034603485,0.164115696,0.04942677,1.008200504,0.148420479,0.465738212,0.288033907,0.041029666,0.005170898,0,0.021434313,0.025348542
OTU158,0.269230206,0.190705316,0.225722248,0.313400452,0.147428461,0.345561297,0.260904469,0.273426638,0.17956134,0.29455081,0.081433225,0.330117742,0.241745658,0.439636435,0.07204611,0.298366834,0,0.219811188,0.212625048,0.207146556,0.154488958,0.216313655,0.062040512,0.149179513,0.201964564,0.24821863,0.15491988,0.099500381,0.081382246,0.332157479,0.287430287,0.315789474,0.378181818,0.204088387,0.242391597,0.309654588,0.213094667,0.234406266,0.144672001,0.221371209,0.275178866,0.262758695,0.165198238,0.176052092,0.124165445,0.164115696,0.125375222,0.067450034,0.111655773,0.100853287,0.099991046,0.167686462,0.084458004,0.206150146,0.15718496,0.234474018
OTU159,0.016095284,0.024938388,0.006305091,0.005739935,0.01329273,0.049594445,0.013379716,0.0092687,0.003615329,0,0,0.00733595,0.019085184,0.00987947,0,0,0.157507875,0.036635198,0,0.058259969,0,0,0,0.008775265,0.018360415,0.020993615,0.046945418,0.006351088,0.400651058,0,0,0.006102212,0.021818182,0.012134985,0.007694971,0,0.010654733,0.005717226,0,0.003231696,0,0.005417705,0,0,0.008141996,0.008147588,0,0,0.016339869,0.016997745,0,0.003567797,0.01895996,0.011452786,0.003572385,0.006337136
OTU160,0.109740573,0.079216054,0.148800141,0.09183896,0.080964811,0.11678692,0.167246454,0.037074798,0.032537961,0.011551012,0.034899953,0.18706672,0.069979006,0.064216558,0,0.172738693,0.03500175,0.073270396,0.041827878,0.077679959,0.135177838,0.067598017,0.009306077,0.128703893,0,0.151894983,0.050075113,0.052925735,0.062601728,0.154491851,0.023595024,0.067124333,0.029090909,0.079428994,0.015389943,0.066354555,0.018645783,0.051455034,0.022605,0.127652011,0.107778389,0.062303608,0.184864695,0.132641987,0.034603485,0.108246523,0.079565044,0.005325003,0.043572985,0.060058699,0.092529027,0.057084753,0.013789062,0.011452786,0.041082433,0.016899028
OTU161,0.033653776,0.07774909,0.023959345,0.033291623,0.0120843,0.036795879,0.501739363,0.69978682,0.162689805,0.282999798,0.651465798,0.344789642,0.273554297,0.172890733,0.216138329,0.031407035,0.350017501,0.259264478,0.282338178,0.161833247,0.096555598,0.17124831,0.59558892,0.25155761,0.215734876,0.175358435,0.278542814,0.503852993,0.325528985,0.157066715,0.311025311,0.297482838,0.126060606,0.084944896,0.150051941,0.154827294,0.125193117,0.125778972,0.497310005,0.547772553,0.454045129,0.614909524,0.869257395,0.692150006,1.060495033,0.978874469,0.449663054,0.837800419,1.150599129,1.111652521,0.431304659,0.428135648,0.513642553,0.412300292,0.373314281,0.247148289
OTU162,0.008779246,0.002933928,0.04791869,0.020663766,0.0362529,0.003199642,0.013379716,0,0,0.011551012,0,0,0,0.00987947,0.054034582,0.06281407,0,0,0.01045697,0.038839979,0,0,0.006204051,0,0,0.023463453,0,0,0,0.018024049,0.006435006,0.019832189,0,0.003309541,0,0,0,0,0,0.003231696,0,0.005417705,0.007866583,0.012058362,0,0,0.02411062,0.007100004,0,0,0,0,0,0.011452786,0.003572385,0
OTU163,0.087792459,0.064546415,0.081966179,0.073471168,0.07371423,0.086390324,0.080278298,0.041709148,0.090383225,0.034653036,0,0.135715072,0.038170367,0.074096028,0,0.031407035,0.0700035,0.047907567,0.048799191,0.071206629,0.064955584,0.031545741,0.108570897,0.078977389,0.022950519,0.070390358,0.039121182,0.084681175,0.012520346,0.069521333,0.040755041,0.064073227,0.021818182,0.040817677,0.050017314,0.066354555,0.029300517,0.045737808,0.081378001,0.084024108,0.05732893,0.083974428,0.14159849,0.094055227,0.152662433,0.297968923,0.230256416,0.083425042,0.194716776,0.108785568,0.040294899,0.033894072,0.053432615,0.068716715,0.057158167,0.0295733
OTU164,0,0,0.017654254,0.006887922,0.00845901,0.028796775,0,0.037074798,0,0.011551012,0,0.040347724,0,0.014819206,0,0,0,0,0,0,0,0,0,0,0.009180207,0.00864443,0.003129695,0,0,0.007724593,0,0.006102212,0,0,0,0.018431821,0,0,0,0,0.029811044,0,0.007866583,0,0,0.01047547,0,0.028400014,0,0.016997745,0,0,0,0,0,0
OTU165,0.939379307,0.423952588,0.491797077,1.029744343,1.170968677,1.188666869,1.264383195,1.223468347,0.931549771,1.172427734,1.384364821,0.832630305,0.91608881,0.834815254,1.260806916,0.157035176,1.610080504,0.893335212,1.097981805,0.970999482,0.905867069,1.689950428,1.861215374,2.04463685,0.867529606,1.12995048,2.003004507,1.011940046,1.358457493,1.071143497,1.16044616,1.243325706,1.151515152,1.008306949,1.115770844,0.597190991,1.270576954,0.731804928,1.740585017,2.095755167,1.784076316,1.671362011,1.750314663,1.714699144,2.855805243,1.454926381,1.409265711,3.958251979,1.398420479,1.579657099,1.073038235,1.177373031,0.556733371,0.54400733,0.871662052,1.487114491
OTU166,0.057065098,0.044008919,0.050440726,0.050511428,0.03866976,0.065592654,0.053518865,0.046343498,0.044589058,0.005775506,0,0.018339875,0.012723456,0,0,0,0,0.005636184,0.027885252,0,0.047400021,0.009013069,0,0.040951239,0.032130726,0.046926905,0.065723585,0.038106529,0,0.005149728,0.012870013,0.007627765,0.038787879,0.009928624,0,0,0.0159821,0.025727517,0.049731,0.016158482,0.013758943,0.016253115,0.015733166,0.004823345,0,0.043065821,0.026521681,0.008875004,0.02587146,0.007932281,0.005969615,0.016055087,0.024130858,0,0.008930964,0.025348542
OTU167,0.417014178,0.592653444,0.481708932,0.497078373,0.461620263,0.535939975,1.351351351,1.191027899,0.836346107,0.981836033,0.744532341,1.023365,1.036961639,0.469274847,1.224783862,0.926507538,1.242562128,0.791883895,0.8818711,1.06809943,0.247533443,0.788643533,1.191177839,0.851200749,0.679335353,0.550773676,0.600901352,0.992886781,0.701139351,0.697788192,1.246246246,1.340961098,0.286060606,0.741337275,0.654072564,0.409186419,0.649938735,0.503115888,1.537140015,1.640085963,1.309392772,1.519666269,1.836847074,2.32002894,1.361748901,1.276843392,1.183831419,0.915900458,1.967592593,1.657846726,0.425335045,0.70463992,0.654980437,0.595544866,0.419755292,0.618926912
OTU168,0.848660433,1.2337167,0.955851755,1.050408109,1.380027069,0.852704497,0.461600214,1.102975253,0.668835864,0.548673077,0.593299209,1.115064373,1.520452955,1.412764276,1.675072046,1.617462312,0.857542877,2.97308722,2.851267036,1.598912481,2.231312103,1.599819739,1.051586686,0.921402872,0.954741577,0.908900058,0.726089134,1.105089339,1.28333542,1.107191596,0.888030888,0.991609458,2.962424242,2.334329873,2.339271286,1.739963874,1.952479889,2.284031788,0.524436005,1.001825909,0.740689782,1.581969878,0.892857143,1.068370915,2.180019541,1.25356457,1.098238719,0.995775498,0.774782135,1.193241697,1.805808435,1.566262911,0.872158161,1.139552196,1.484326159,1.030840727
OTU169,0.035116983,0.010268748,0.006305091,0.026403701,0.00604215,0.003199642,0,0,0.009640877,0.034653036,0,0,0,0,0,0,0,0,0,0,0,0,0.058938487,0.017550531,0.018360415,0.038282475,0.010953931,0.061393852,0.100162764,0.064371604,0.021450021,0,0.004848485,0,0,0.040550006,0,0.020010291,0,0,0,0.01083541,0,0,0,0.011639411,0.020494027,0.076325038,0.016339869,0,0.022386055,0.030326275,0.122377924,0,0.028579084,0.059146599
OTU170,0.081939628,0.108555334,0.133667923,0.078063116,0.03021075,0.100788712,0.107037731,0.074149597,0.074716799,0.043316296,0.127966496,0,0.019085184,0.00987947,0,0.031407035,0,0.005636184,0.045313535,0.077679959,0.135177838,0,0,0.099453008,0.009180207,0.235869444,0.026602404,0.050808705,0.037561037,0,0.045045045,0.06559878,0.014545455,0.015444527,0.023084914,0.051609098,0.093228917,0.071465325,0.049731,0.033932813,0.027517887,0.005417705,0.055066079,0.02894007,0.004070998,0.048885526,0.08679823,0.117150059,0.057189542,0.040794588,0.032832881,0.019622884,0.017236327,0.051537537,0.016075735,0.021123785
OTU171,0.172658502,0.222978524,0.239593448,0.204341687,0.153470611,0.231974019,0.060208724,0.078783947,0.120510966,0.225244737,0.046533271,0.00733595,0.209937019,0.019758941,0.270172911,0,0.385019251,0.064816119,0.278852522,0.02589332,0.054422246,5.425867508,0.155101281,0.108228274,0.142293216,0.172888598,0.278542814,0.218054027,0.175284838,0.157066715,0.072930073,0.259344012,0.278787879,0.228358357,0.046169828,0.033177277,0.290341484,0.060030873,0.054252001,0.132499556,0.043569987,0.078556723,0.239930774,0.012058362,0.02239049,0.47372403,1.449048233,0.065675033,0.134803922,0.071390529,0.094021431,0.033894072,0.022407225,0.160339002,0.0982406,0.211237854
OTU172,0.008779246,0.026405351,0.017654254,0.004591948,0.00241686,0.014398387,0,0,0.008435768,0,0.034899953,0,0,0,0,0,0,0.011272369,0.006971313,0,0.003511113,0,0,0,0,0.023463453,0.003129695,0.010585147,0,0.010299457,0.004290004,0.004576659,0,0,0,0,0.005327367,0,0,0,0,0,0,0,0,0,0,0.003550002,0.002723312,0,0.004477211,0,0,0.017179179,0.008930964,0
OTU173,0.419940594,0.309529398,0.489275041,0.367355842,0.517208043,0.462348217,0.187316029,0.329038836,0.222945288,0.282999798,0.093066543,0.601547885,0.750683886,0.227227821,0.702449568,0.219849246,0.437521876,0.30153586,0.383422218,0.323666494,0.251044556,0.108156827,0.539752458,0.415362565,0.559992656,0.324783581,0.511705058,0.37683123,0.394390885,0.37593017,0.600600601,0.503432494,0.448484848,0.596820634,0.473240737,0.376009142,0.564700868,0.668915442,1.220670012,0.686735502,1.992753623,0.658251165,0.621460038,1.155191125,0.482413288,0.925333178,0.388180974,0.3993752,0.435729847,0.315024873,0.608900695,0.460245821,0.658427702,0.498196186,0.269715102,0.73722011
OTU174,0.083402836,0.063079451,0.065572944,0.066583246,0.06888051,0.05759355,0.187316029,0.097321346,0.061460593,0.060642814,0.093066543,0,0.012723456,0.019758941,0,0.172738693,0.03500175,0.011272369,0.048799191,0,0.082511148,0,0,0.064351947,0.013770311,0.064215765,0.031296945,0.025404353,0.043821209,0.079820789,0.023595024,0.041189931,0.07030303,0.044127219,0.0269324,0.029490913,0.013318417,0.020010291,0,0.016158482,0.013758943,0,0.007866583,0.016881707,0,0.009311529,0.010849779,0,0,0.005665915,0.047756917,0,0,0,0.003572385,0.016899028
OTU175,0,0.004400892,0,0,0.00483372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002469837,0,0,0,0,0,0,0,0.002206361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU176,0.020484907,0.004400892,0.050440726,0.042475519,0.02779389,0.030396596,0,0.064880897,0.048204387,0.046204049,0,0.022007849,0.159043196,0,0,0,0,0.050725659,0,0.038839979,0.114111162,0.094637224,0,0,0.027540622,0.007409511,0,0,0,0,0,0,0,0,0,0,0.00799105,0,0,0.014542634,0.018345258,0.024379673,0,0,0,0.002327882,0,0,0,0.002266366,0,0.030326275,0.046538084,0,0,0.019011407
OTU177,0.40384531,0.124691938,0.489275041,0.323732335,0.195765661,0.047994625,0,0.380016684,0.545914678,0.407173179,0.383899488,0.495176613,0.356256759,0.163011263,0,0,0.087504375,0.580526983,0.006971313,0.317193164,0.103577824,0.60387562,0.902689456,0.05850177,0.766547324,0.468034133,0.841887832,1.041578457,0.857643671,0.476349873,1.132561133,0.723112128,0.431515152,0.311096892,0.377053595,0.405500055,0.490117735,0.37161969,0,0.255304022,0.415061457,0.476758045,0.090465702,0.236343904,0.042745481,0.181574812,0.072331859,0.685150343,0.762527233,0.167711084,0.50890965,0.278288171,1.875312408,0.629903224,0.410824328,0.813265737
OTU178,0.014632076,0.013202676,0.03404749,0.019515779,0.02658546,0.007999104,0,0.013903049,0.025307303,0.049091802,0.034899953,0.058687599,0.025446911,0.00987947,0,0.031407035,0,0,0.024399596,0.01294666,0.012288894,0.013519603,0.034122282,0,0.03672083,0.01728886,0.029732098,0.016936235,0,0.012874321,0.015015015,0.018306636,0,0.022063609,0.007694971,0.007372728,0.018645783,0.014293065,0.022605,0,0.011465786,0.005417705,0,0,0,0,0.015671903,0,0.005446623,0.002266366,0.010446826,0.017838985,0.010341796,0,0.005358578,0.004224757
