,DNA16S_1,DNA16S_2,DNA16S_3,DNA16S_4,DNA16S_5,DNA16S_6,DNA16S_8,DNA16S_9,DNA16S_10,DNA16S_11,DNA16S_12,DNA16S_13,DNA16S_14,DNA16S_15,DNA16S_16,DNA16S_17,DNA16S_18,DNA16S_20,DNA16S_21,DNA16S_22,DNA16S_23,DNA16S_24,DNA16S_25,DNA16S_26,DNA16S_27,DNA16S_28,DNA16S_29,DNA16S_31,DNA16S_33,DNA16S_34,DNA16S_35,DNA16S_36,DNA16S_37,DNA16S_38,DNA16S_39,DNA16S_40,DNA16S_41,DNA16S_42,DNA16S_43,DNA16S_44,DNA16S_45,DNA16S_46,DNA16S_47,DNA16S_48,DNA16S_49,DNA16S_50,DNA16S_51,DNA16S_52,DNA16S_53,DNA16S_54,DNA16S_55,DNA16S_56,DNA16S_57,DNA16S_58,DNA16S_59,DNA16S_60
OTU11,2.832769998,2.65227086,2.71371105,2.923922901,3.307472931,2.538915641,3.699491571,2.961349523,2.513858761,2.968610124,3.408562122,3.869713531,3.047267638,3.917210038,2.989913545,2.528266332,1.522576129,2.375651684,3.31834501,2.084412222,2.677223412,1.716989635,2.202438192,2.68230614,1.959974295,2.645195549,2.118803205,1.92437971,2.166019782,3.60738471,2.350922351,3.254004577,2.744242424,2.472227432,1.796775807,2.222877576,2.613073358,2.709965125,2.192685022,2.800264999,2.141808842,2.852421714,2.953901825,2.539491137,3.301579547,2.455915731,2.493038059,1.842450921,2.504084967,2.860153886,2.786317643,2.677631696,1.665029216,2.038595888,1.812985621,2.237008872
OTU12,0.725750991,0.485565075,1.010075535,0.762263371,0.749226605,0.804709872,0.749264116,1.042728705,0.8978067,1.103121661,0.825965565,0.575872061,0.578917234,0.622406639,0.504322767,0.361180905,0.227511376,0.774975342,0.505420196,1.242879337,0.38797795,0.806669671,1.355585197,0.526515927,1.349490498,0.694024229,1.377065598,1.399356423,1.089270064,0.829106265,1.276276276,0.738367658,0.404848485,0.626606507,0.627140164,0.604563719,0.748495019,0.351609399,0.691713007,0.413657149,0.545771418,0.606782967,0.31466331,0.491981189,0.254437388,0.334051097,0.288121903,0.564450282,0.537854031,0.394347683,0.852162493,0.827728919,1.806367099,1.133825803,0.764490489,1.104773975
OTU13,0,0,0.008827127,0,0,0.003199642,0,0,0.004820439,0,0,0,0.031808639,0,0,0,0,0,0,0,0,0,0.006204051,0,0,0.002469837,0,0,0,0,0,0.010678871,0,0.005515902,0,0,0,0.005717226,0,0,0,0.01083541,0,0.007235017,0.028496987,0,0,0,0.005446623,0,0.010446826,0,0,0,0,0
OTU14,0.043896229,0.029339279,0.087010252,0.051659415,0.04471191,0.065592654,0,0,0.080742348,0.049091802,0,0.033011774,0,0,0.054034582,0.078517588,0.03500175,0,0,0,0.003511113,0,0.043428359,0.020475619,0.03672083,0.080269706,0.106409614,0.086798205,0.056341555,0.018024049,0.107250107,0.036613272,0,0.067294009,0.034627371,0,0.045282617,0.022868904,0,0.014542634,0,0,0,0.007235017,0,0,0,0,0.008169935,0,0.026863266,0.017838985,0.049985349,0.028631965,0.008930964,0.01478665
OTU15,0.493100976,0.363807065,0.514495404,0.518890126,0.403615623,0.534340154,0.561948087,0.282695338,0.483248976,0.473591498,0.418799442,0.41081319,0.32444812,0.568069551,0.450288184,0.094221106,0.752537627,0.309990137,0.390393531,0.343086484,0.510866894,0.662460568,0.279182306,0.266183052,0.826218673,0.555713351,0.859101152,0.541959522,0.851383498,0.466050416,0.692835693,0.446987033,0.664242424,0.358533653,0.527105537,0.530836436,0.554046135,0.708936024,0.524436005,0.197133485,0.227022565,0.352150829,0.212397734,0.200168817,0.354176844,0.272362218,0.208556859,0.337250169,0.216503268,0.149580156,0.607408292,0.490572096,0.529155248,0.744431083,0.539430205,0.682298268
OTU16,2.739124709,3.438563549,2.326578479,2.790756409,3.039201469,2.530916537,3.485416109,3.4803967,2.513858761,1.810621156,3.396928804,3.601951363,4.7522107,4.149377593,4.646974063,5.370603015,4.007700385,4.20459349,3.959705811,3.301398239,4.690846529,3.713384407,3.176474238,4.229677948,3.098320022,2.476011707,2.605470706,3.016766873,4.087892826,3.277802096,2.854997855,3.087719298,4.441212121,3.653733714,4.590050402,3.443064106,3.878322945,4.513749929,4.683756047,5.43409763,5.159603742,6.227651967,5.640339836,5.262269384,4.030288227,3.42431473,3.206712396,4.717952359,3.048747277,3.26243385,3.848909053,3.767593699,2.888808453,4.684189429,3.261587925,4.142374313
OTU17,0.361412288,0.112956226,0.273640938,0.343248114,0.465245553,0.191978498,0.535188654,0.866623413,0.9725235,0.719050507,0.663099116,0.520852437,0.286277753,0.582888757,0.288184438,1.805904523,0.297514876,0.388896717,0.17079717,0.252459865,2.013623117,0.184767913,0.341222819,0.234007079,0.362618195,0.363066056,0.38964697,0.254043526,0.388130712,0.620542266,0.24024024,0.288329519,0.225454545,0.317715975,0.20391674,0.206436392,0.247722551,0.234406266,0.343596003,0.350639068,0.135296276,0.289847221,0.448395217,0.219462197,0.710389187,0.492347087,0.481006859,0.504100252,0.781590414,0.72183757,0.417873026,0.215851722,0.156850578,0.286319647,0.233991248,0.065483735
OTU18,0.019021699,0.024938388,0.044135635,0.028699675,0.01450116,0.023997312,0.013379716,0.013903049,0.007230658,0.005775506,0,0.029343799,0,0.014819206,0.036023055,0.06281407,0,0.011272369,0.017428283,0.01294666,0.054422246,0.013519603,0,0.008775265,0.009180207,0.019758697,0.014083625,0.004234059,0.037561037,0.036048098,0.006435006,0.016781083,0.024242424,0.007722263,0,0.007372728,0.010654733,0.014293065,0.009042,0.003231696,0,0,0.007866583,0.00964669,0.02239049,0.032590351,0.01205531,0,0.002723312,0.009065464,0.022386055,0.005351696,0.003447265,0.011452786,0.010717156,0.010561893
OTU19,2.200664296,2.975002934,1.293804618,2.170843426,2.468822506,1.667013295,2.415038801,2.400593197,1.543745481,1.409223483,3.25732899,3.345193119,3.168140467,3.546729895,4.39481268,2.528266332,3.675183759,2.888544455,3.210289658,1.967892284,1.824023033,2.92023434,2.224152371,3.056717466,1.891122739,1.584400509,1.438094642,2.076805826,2.585451358,1.673661714,1.78035178,2.619374523,4.783030303,3.415446733,2.27386403,2.705791278,2.575781791,3.827682808,4.760613048,4.059010778,4.070354063,3.483584354,3.775959723,4.054021464,3.916300277,3.321887912,2.928234741,1.664950832,2.369281046,2.655047764,2.838551771,4.631000589,1.266870055,2.365000286,2.509600786,2.551753274
OTU20,0.586746265,0.614657904,0.617898892,0.595805255,0.697264114,0.575935495,0.29435376,0.22244879,0.320559171,0.355193624,0.407166124,0.476836738,0.038170367,0.074096028,0.576368876,0.957914573,0.140007,0.622798366,0.73198787,0.660279648,0.888311506,0.51374493,0.378447126,0.333460087,0.367208299,0.682909962,0.298885829,0.340841731,0.344309503,0.435152046,0.418275418,0.425629291,0.620606061,0.457819895,0.550190451,0.571386442,0.426189335,0.597450117,0.361680004,0.416888846,0.4448725,0.40632788,0.271397105,0.590859761,0.276827878,0.377116918,0.413497125,0.086975043,0.213779956,0.341088082,0.350714861,0.335372924,0.118930658,0.337857184,0.251853175,0.39079003
OTU21,0.286788698,0.297793686,0.242115484,0.405239413,0.693638824,0.401555026,0.408081349,0.366113634,0.230175946,0.438938462,0.174499767,0.234750394,0.197213563,0.083975499,0.41426513,0.942211055,0.17500875,0.639706918,0.17079717,0.110046608,0.244022331,0.351509689,0.068244564,0.198906017,0.330487469,0.382824753,0.244116174,0.203234821,0.256667084,0.164791307,0.278850279,0.327993898,0.383030303,0.477677143,0.465545766,0.176945479,0.261040967,0.420216111,0.302907003,0.289236835,0.204090992,0.251923285,0.495594714,0.238755577,0.195407914,0.40039574,0.424346904,0.166850083,0.454793028,0.549593754,0.326836403,0.408512764,0.230966786,0.343583577,0.367955702,0.384452894
OTU22,0.84427081,0.287524938,0.377044426,0.55562571,0.403615623,0.548738541,0.394701632,0.500509778,0.300072307,0.363856883,0.442066077,0.517184462,0.508938228,0.365540407,0.144092219,0.329773869,0.402520126,0.160631253,0.167311513,0.304246504,0.242266774,0.207300586,0.257468127,0.36563606,0.394748921,1.264556602,0.644717076,0.586417139,0.726180043,0.332157479,0.486915487,0.295957285,0.167272727,0.354120931,0.200069255,0.468168246,0.303659901,0.188668458,0.592251006,1.777433063,1.031920748,0.704301658,3.748426683,1.205836247,0.223904901,1.339696211,1.181420357,1.011750506,1.556372549,0.923544143,0.377578127,0.28007207,0.1895996,0.406573899,0.160757346,0.128855091
OTU23,0.283862283,0.231780307,0.274901956,0.247965193,0.326276102,0.343961476,0.214075462,0.092686996,0.136177392,0.040428543,0.069799907,0.00733595,0.025446911,0.039517882,0.108069164,0,0.03500175,0.185994082,0.097598383,0.200673226,0.175555634,0.162235241,0.161305332,0.119928628,0.096392178,0.382824753,0.244116174,0.131255822,0.050081382,0.064371604,0.062205062,0.09610984,0.128484848,0.120246671,0.076949713,0.136395473,0.090565234,0.122920359,0.122067001,0.09210335,0.094019446,0.135442627,0.039332914,0.040998432,0.056993975,0.202525752,0.159130089,0.083425042,0.153867102,0.044194137,0.079097394,0.094546622,0.039643553,0.045811144,0.087523444,0.107731305
OTU24,0.7081925,0.377009741,0.421180061,0.538405905,0.362529002,0.646327611,0.414771207,0.903698211,0.461557002,0.571775102,0.837598883,0.693247258,0.069979006,0.439636435,0.432276657,1.413316583,0.367518376,0.636888826,0.369479591,0.511393061,0.438889084,0.225326724,0.477711946,0.959429023,0.546222345,0.382824753,0.677578868,0.535608434,0.369350194,0.409403404,0.647790648,0.738367658,0.581818182,0.472161241,0.51556308,0.538209164,0.412870918,0.280144074,0.854469009,1.274904261,0.341680426,1.083541012,0.507394588,0.581213071,2.581012864,1.914683117,0.681125002,0.812950406,1.218681917,0.480469591,0.819329612,0.793834847,0.935932571,0.893317299,0.482272037,1.142796789
OTU25,0.004389623,0.026405351,0,0.042475519,0.03746133,0.047994625,0,0.092686996,0,0.063530567,0,0,0,0.054337088,0,0,0,0.014090461,0,0,0.007022225,0.009013069,0.034122282,0.652294732,0.045901037,0.048161824,0.025037556,0.006351088,0.012520346,0.005149728,0.064350064,0.019832189,0.021818182,0.079428994,0.019237428,0.014745457,0,0,0,0.017774331,0,0,0,0.00964669,0,0.003491823,0.028932743,0,0,0.012465013,0.059696147,0.035677971,0.036196287,0.011452786,0.046441011,0.076045627
OTU26,1.040340635,1.153033681,1.417384396,1.298373302,1.019914927,1.396643576,1.378110784,1.464454537,0.659194987,1.969447573,1.27966496,0.707919158,0.998791272,1.071922545,3.206051873,0.785175879,1.277563878,0.896153304,0.899299383,1.145779389,0.542466908,1.442091032,2.757700779,1.81355486,1.491783714,1.24973758,1.696294442,1.983656533,1.352197321,2.332826943,1.325611326,1.942028986,1.44969697,1.314991119,1.084990958,1.290227449,0.910979703,1.303527528,2.192685022,1.833987752,1.793248945,1.628020371,1.447451227,0.959845653,1.078814525,1.049874876,1.258574339,2.410451205,0.920479303,1.36095278,1.698355371,1.8231443,2.126962787,2.124491783,1.670090203,1.854668357
