,ITS_1,ITS_2,ITS_3,ITS_4,ITS_5,ITS_6,ITS_7,ITS_9,ITS_10,ITS_11,ITS_13,ITS_14,ITS_15,ITS_16,ITS_17,ITS_18,ITS_19,ITS_20,ITS_21,ITS_22,ITS_23,ITS_24,ITS_25,ITS_26,ITS_27,ITS_28,ITS_29,ITS_30,ITS_31,ITS_32,ITS_33,ITS_34,ITS_35,ITS_36,ITS_37,ITS_38,ITS_39,ITS_40,ITS_41,ITS_42,ITS_43,ITS_44,ITS_45,ITS_46,ITS_47,ITS_48,ITS_49,ITS_50,ITS_51,ITS_52,ITS_53,ITS_54,ITS_55,ITS_56,ITS_57,ITS_58,ITS_59,ITS_60
OTU583,0,0,0,0,7.97E-05,0,0,0,0,0,0.001874563,0.000585293,0,9.17E-05,0,0.000582842,0,0.000916149,0.000140651,0.000685876,0.000509139,0.001843015,9.43E-05,0,0,0,0,0,0,0,0,0,0,0,0.000156269,0.000783957,0.000207303,0.000517851,0.000276409,0,0,0,0,0,0,0,0,0.000140783,0,0,0.000123355,0,0,0,0,0,0.001254758,0
OTU584,0.003105736,0.001777633,0.012641651,0.009391183,0.01165866,0.006281185,0.003072288,0.002032736,0.003355862,0.002516601,0.005131219,0.001223795,0.003579249,0,0,0.000204782,0.002100667,0.001164596,0.004078877,0.003437088,0.001444682,0.002558341,0.003566071,0.001246365,0.002960504,0.013171409,0.000683175,0.005761642,0.002232873,0,0.005357482,0.03067408,0.001488221,0.004395978,0.002899658,0.001164946,0.003431218,0.007534371,0.007152071,0,0.003941579,0.001202301,0.001526277,0.000735998,0,0,0,0,0,0,0,0,0,0.001352484,0,0.002292984,0.000575855,0.007364196
OTU585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205948,0,0,0,0,0.000168312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000783957,0,0,0,0,0,0,0,0,0,0,0.001624755,0.000347265,0.000282031,0,0,0,0,0,0,0,0,0
OTU587,0,0,0,0,0.000115934,0.000430508,0.000673921,0.000179982,0.000562435,0.000311461,0.000238292,6.39E-05,0.000241637,0.000104766,0,0.00056709,0,0.000124224,0,0.00065505,8.91E-05,8.42E-05,0.00323588,0.001170057,0.00139396,0.002748564,0.002367717,0.002865383,0.001682629,0.006774801,0.000599718,0.00084187,0.003299357,0.004682672,0.002239856,0.002732861,0.000228748,0,0.00042613,0.00093745,0,0,0,0,0,0,0,0,0,0,0,0,0.002661008,0.000433488,0.000217262,0.001241716,0.000551609,0.002120254
OTU588,0,0,0,0,0,0,0,0,0,0,0,3.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU589,0,0.000632186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96E-05,0,0,0,0,0,0,0,0,0,0,0
OTU590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU591,0,0,0,0.002280343,0.000202885,0.004523865,0.003092109,0.004923031,0.137955924,7.48E-05,0,0,0,0,0,0,0,0,0.000112521,0.000107891,0,0,0.000339626,0.032235911,0.000783272,5.79E-05,3.74E-05,0.001123922,0.000653913,0,0.001599248,0.000991906,0.000940668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000372208,0,0,0,0,0.000209758
OTU592,0,0,5.31E-05,0,0,0,0,0,5.62E-05,0,0,0,0,0,0,0,0,0,0.000112521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96E-05,0.000244024,0,0,0,0,0,0.000225414,0,0,0,0
OTU593,0,0,0.00030675,0,0,0,0,0,0,0,0,0,0,6.55E-05,0,0,0,0.000124224,0,5.39E-05,0,0,0,0,0,0,0,9.26E-05,0,0,0,0,0,0,0.000138906,0,0,0,5.76E-05,0,0,0,0.000386844,0,0,0,0,0.000112626,3.64E-05,0,0.000133635,0.000225754,0,0,0,0,0,0
OTU594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51E-05,0,0,0,0,0,0,0,0,0,0
OTU595,0.001097988,0,0,0,0.000246361,9.17E-05,0.000356782,9.53E-05,0.000393704,0.000436045,0.031819915,0.003245717,0.007823001,0.001060751,0,0.004016887,0.001894719,0.030279503,0.001083012,0.000115597,0.006835192,0.006639905,0.000188681,0,0,0.00151171,0.000149737,0.000969537,0,0,0.000279868,0,7.02E-05,0.000679571,0.001111246,0,0.000486089,0.001575435,0.000621919,0,0,0.001353942,0.000147704,0.003256541,0.009404499,0.000441459,0.001478858,0.005734558,0.003266101,0.00781374,0.00546875,0.010537234,0,0.01910817,0,0,0,0.008741794
OTU596,0.002494,0.003761822,0.001928987,0.000139258,0.000355049,0.000790441,0,0.000243505,0.000337461,8.72E-05,0.000317723,9.58E-05,0.000120819,0.000497636,0,0,0,0.000698758,0.000309432,0.00039303,0.000114556,0.000159896,0.000679252,0.000186531,0,0,0.000149737,0,0.000470498,0,0.000429798,0.000658492,0.000224637,0.000191129,0,0,0.000629057,0,0.001174736,0,0,0,0.000611918,0.000342794,0.000476401,0.000217334,0.000391267,0.000375421,9.10E-05,0.000476291,3.08E-05,0.002172122,0.000172216,0,0,0.000129504,0,0.000595258
OTU597,0,0,0,0,0,0,0,0,3.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU598,0.036366916,0.035433736,0.024622609,0.033822185,0.043504409,0.045923228,0.034340251,0.033349567,0.033877333,0.026075473,0.054902459,0.04246036,0.093241713,0.045546811,0.031593081,0.048108125,0.050086498,0.049829193,0.025063996,0.03877128,0.032623084,0.077288832,0.058189228,0.073060716,0.044739462,0.042624445,0.03063058,0.048433611,0.034274595,0.024609858,0.041970274,0.0219303,0.054235813,0.048408847,0.054780963,0.051858419,0.033454379,0.048065351,0.043476759,0.048376603,0.065692985,0.069181027,0.079380486,0.065634925,0.067507719,0.081017937,0.061687623,0.041897003,0.018377503,0.06031727,0.05364926,0.063821349,0.056386696,0.101603907,0.040772832,0.060386989,0.043965036,0.03006905
OTU599,0,0,3.54E-05,0,2.17E-05,2.12E-05,0.000683832,0.000592881,0.000309339,0,0,9.58E-05,0,0,0,0,0,0,0,0,0,0,2.83E-05,0.000754602,0,2.89E-05,0,0,0.000135567,0,6.00E-05,0,0,0,0,0,0,0,0,0,0,0.000541577,0,0,0,0,0,0.00052559,0.000145564,0,0,0,0.00015555,0,0,0,0,0.000153066
OTU600,0,0,2.36E-05,5.22E-05,3.62E-05,0,0,2.12E-05,0,0,0,0,0,0,0,0,0,4.66E-05,0,2.31E-05,0,0,0.023368145,5.09E-05,0,0,0,0.000265542,3.19E-05,0,0,0,0,2.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24E-05,0,0,0.000249442
OTU601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU602,0,0,7.08E-05,0,0,0,0,0,0,0,0,0,3.02E-05,0,0,0,0,0,0,0,0,0,0,0,0.000464653,0,0,0,0,0,0.000419803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000228537,0,0
