,ITS_1,ITS_2,ITS_3,ITS_4,ITS_5,ITS_6,ITS_7,ITS_9,ITS_10,ITS_11,ITS_13,ITS_14,ITS_15,ITS_16,ITS_17,ITS_18,ITS_19,ITS_20,ITS_21,ITS_22,ITS_23,ITS_24,ITS_25,ITS_26,ITS_27,ITS_28,ITS_29,ITS_30,ITS_31,ITS_32,ITS_33,ITS_34,ITS_35,ITS_36,ITS_37,ITS_38,ITS_39,ITS_40,ITS_41,ITS_42,ITS_43,ITS_44,ITS_45,ITS_46,ITS_47,ITS_48,ITS_49,ITS_50,ITS_51,ITS_52,ITS_53,ITS_54,ITS_55,ITS_56,ITS_57,ITS_58,ITS_59,ITS_60
OTU1,0,0.000294186,5.31E-05,0,0,0,0,3.18E-05,0,0,0,0,0,0,0.002663047,0,0,0,0.000492278,0.002535431,0.000445497,0.000143065,0,0.000644379,0.002071026,0,0,0.000654592,0,0,0.001039511,0,0.000407155,0,0,0.001186926,0.000278786,0,0.0010826,0.00015391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2,0,0,2.36E-05,4.35E-05,5.07E-05,0,0,4.23E-05,0.000103113,6.23E-05,0,0.003032883,0,0,0,0,0,3.11E-05,2.81E-05,0.000100184,0,0,1.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004053614,0.001386437,0.005014911,0.000120986,0.001023379,0.00020375,0.000179055,0.003960693,0.000172858,0.000780945,0.000498561,0.001183685,0,5.78E-05,0,0,9.09E-05,0
OTU3,0.000305868,0,0.000100284,0,9.42E-05,0,0,0,5.62E-05,0,0,0,0,0,0,0.000173277,0.003748249,0.000869565,8.44E-05,7.71E-05,0.001495596,0.002204886,0.000330192,0,0.000969134,0,0,0,0.000119618,0,0.002109009,0,0,0,0,0.000293068,0,0,0,0,0,0,0,0,0,0,0,0.000206482,6.37E-05,0.000364727,0.001130757,0.002916501,0,0,0,0,0,0
OTU4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU5,0,0,0,0,0,0,0,0,0.000384331,0,0.000730762,5.32E-05,0,9.17E-05,0,0,0,0,0,0,0,0,5.66E-05,0,0,0,0.001104311,0,0,0,0,0,0.000168478,0,0,0,0,0,0,0,0.002322171,0.000454925,0.000443113,0,0.000308778,0.002085045,0.001173802,0,0.000973462,0,0,0.000677263,0,0,0,0,0,0
OTU6,0,0,0,0.000661474,0.000876754,0.000105863,0.001992032,0.00022233,0.000506191,0.000959298,0.000444812,0,0.00019633,0.001990545,0,0.001937557,0,0.003059006,0.001392444,0.003614337,0.000178199,0.001986081,0.002056623,0.002009445,0.000318619,0.001207922,0.003790218,0.002352825,0.001866044,0.001008342,0.000949554,0.000900218,0.004310224,0.003249201,0.005087424,0.002608307,0.003824379,0.001290981,0.000909845,0.003602885,0,0,0.000147704,2.02E-05,0.000361712,0.000957627,0.000417794,0,0,0,0.000724712,0.000427103,0.011338448,0,0,9.14E-05,0.000254589,0
OTU7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020745,0,0,0,0,0,0
OTU8,0.004180195,0.002791635,0.002041069,0.004456243,0.004992428,0.003789884,0.00147668,0.001895102,0.002156001,0.001046507,0.021811654,0.003192508,0.001132674,0.002972722,0,0.00107117,0.008402669,0.001677019,0.002756758,0.001271568,0.002163841,0.007228997,0.013603902,0.003103194,0.00205775,0.008043167,0.001899788,0.004106637,0.00912288,0.001126508,0.003898168,0.005543006,0.002695645,0.00469329,0.011147188,0.003480185,0.00030738,0.001918238,0.002026996,0.003518934,0.000346289,0.00056324,0.003833277,0.002712104,0.003405382,0.00072671,0,0.000825927,0.000645942,0,0.001177015,0.000213551,2.22E-05,0.001942028,0.000708688,0.006033366,0,0.002057893
OTU9,0,0,0,0,0,0,0,0,2.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10,0,0,0,0,0,0,0,0,0,0,0,0,0.003171487,0,0.006594564,0.000661605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000498251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000170074
OTU11,0.001317585,0,0.000489621,0.003907916,0.003144722,0.000352876,0.000713564,0.000995193,0.001612314,0.000137043,0.001620385,0.001053528,0.000468172,0.002082215,0.002811406,0.000740367,0.001894719,0.005962733,0.006709049,0.003375436,0.039076422,0.009593779,0.002132096,0.001305715,0.005044806,0.005135475,0.00149737,0.00227872,0.002775142,0,0.029756015,0.006368206,0.000603712,0.002983743,0.000381991,0.003458205,0.002509078,0.000262572,0.001347492,0.002833337,0.001089791,0.000487419,0.000647085,0.000615012,0.01225408,0.000855752,0.001704334,0.005481149,0.097473548,0.007444722,0.0010331,0.034827176,0.003960957,0.004733694,0.002927864,0.022320408,0.002879276,0.003010306
OTU12,0,1.25E-05,1.18E-05,0.00031333,2.17E-05,0,4.96E-05,0,0,0,7.94E-05,3.19E-05,0,5.24E-05,0,4.73E-05,0,3.11E-05,7.03E-05,0.000909364,0,0,0.000103775,0.000152616,0,0,0,8.65E-05,4.78E-05,0.002158483,0,1.67E-05,0,8.49E-05,0,0.000124554,2.86E-05,0,5.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44E-05,0,3.10E-05,0,0,0.000107713
OTU13,0,0,0,0,0,7.06E-05,8.92E-05,0,0,0,4.77E-05,4.26E-05,0,2.62E-05,0,6.30E-05,0,9.32E-05,0.000267237,0.000223488,0.000146377,0,0,0,0,0.000101263,0,0,0,0,0,0.000341749,0,0,0,0,0.000314528,0,0,0,0,0,0,0,0.000255845,0,0,0,0,0.001896581,5.65E-05,0,0.00015555,0,0,0,0,0
OTU14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004407884,0,0,0,0,0,0.000393115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU15,0,0,0,0,0,0,0,0,0,0,0,0.000681068,0,0,0,0,0,0,5.63E-05,0,2.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU16,0.000376453,0.000200297,0,0,0,9.17E-05,0,0,8.44E-05,0,0,0,0,0,0,0,0,0.000124224,0,6.17E-05,1.91E-05,0,8.49E-05,0,0.00025224,0,0.001450577,0,0.000247211,0,4.00E-05,0,0.000491394,0,0.000989704,0,0.001129443,0,8.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000585741,0.000222214,0,8.79E-05,0.000441837,0.001576025,0
OTU17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000211006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000741412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20E-05,0,0,0,0,0,0,0
OTU19,0.003631202,0.009044647,0.059875294,0.032011837,0.014600497,0.01990924,0.005986006,0.008840282,0.010751882,0.011013243,0.010230667,0.004480153,0.001948199,0.00246199,0.021853302,0.009861063,0.017876267,0.007763975,0.003544403,0.007113077,0.002513874,0.031263938,0.017424693,0.008063217,0.022475938,0.016860272,0.013981695,0.005983956,0.012902814,0.022246555,0.007066679,0.013086496,0.005152613,0.00413052,0.011720174,0.047858038,0.015576302,0.003588491,0.005551205,0.0063033,0.001283305,0,0.005880036,0.006956697,0.002629025,0.002492546,0.000457584,0.004401813,0.005949944,3.86E-05,0.00623972,0.001696208,0.008221902,0.003306072,0.018337946,0.002689114,0.025816502,0.002188283
OTU20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11E-05,0,0,0,0,0,0,0
OTU21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000218805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000183168,0,8.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000301201,0,0.000283545,0,0,7.03E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000437689,0,0,0,0,0,0,0,0,0,0,0
OTU25,0,0,0,0,0,0,0,0,0,0,0,0,0.000347353,0,0,4.73E-05,0,0,0,0,0,0.000698494,0.000122643,0.000245881,0.000451377,0.000108496,0.000121661,0,0.000462524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000548616,0,0,0,0,0,0,0,0.00078125,0,0,0,0,0,0,0
OTU26,0,0,0,0,0,0,0,0,0,0,0.000571901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001157395,0,0,0,0,0,0,0,0,0,0,0.001561535,0,0,0.000375421,3.64E-05,0,0,0,0,0,0,0,0,0
OTU27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000556918,0,0,0,0,0,0,0,0,0,0,0,0
OTU28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00081589,0.000988053,0.000432289,0.000719918,0,0,0,0,0.000298109,0.000549132,0,0,0,0,0,0
OTU29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001800171,0,0,0
OTU30,0,0,0,0,0,0,0,0,0,0,0,7.45E-05,0,0,0,7.88E-05,0,0,0.000126586,0.000138717,0,0,6.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000248533,0,0,0,0
OTU31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000860821,0,0
OTU32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000677963,0,0,0,0,0,0,0,0
OTU33,0,0,0,0,0,7.76E-05,0,0,2.81E-05,0,0,6.39E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126358,6.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU34,0.000721535,0.001508484,0.008117084,0.000356848,0,0.001150374,0.005153515,0.000232918,0.013798405,0.000772422,0.005687234,0.000947111,0.000377558,0.011720643,0,0.001811537,0,0.000108696,0.000548539,6.94E-05,0.000108192,0.00021039,0.000122643,0.000313711,0,0,0,0,0,0,0,0,0,0,0,0.000256435,0,0.00055432,0.000276409,0,0,0.000552408,0.00047828,0,0.003228937,0.000400709,0.002778662,0.000328494,0.00241091,0,0,4.88E-05,0,0,0,0,0,0.000748325
OTU35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.70E-05,0,0,0,0,0,0,0.00037219,0,0.000225414,0,0,0,0
OTU36,0,0,5.31E-05,0,0,0,0.000138748,0,8.44E-05,2.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU38,0,0,0,0,8.70E-05,0,0,0,0,0,0,0.000117059,0,0,0,0,0,0,0,0,0,0.000244052,0.000188681,0.000186531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001614468,0,0.001923179,0.000563132,0.000582258,0.006135996,0,0.00087251,0,0,0,0,0,0
OTU39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000519914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000278529,0,0,0,0,0,0,0,0,0,0,0
OTU41,0,0,0.000418832,0.000913878,0,0.00016938,0,0,8.44E-05,7.48E-05,0,0.000446951,0,0.000196435,0,7.88E-05,0,0.000124224,0.000140651,4.62E-05,0.000108192,5.89E-05,0,0,0.000690342,0,0,0,0,0,0,0.000275066,0,0,0,0.000197821,0,0.000350097,0,0.002056793,0.000346289,0,0,0.000594848,0.002249669,0,0.001359489,0.000122012,0,0,0,0,0,0,0,0,0.000860752,0
OTU42,0.000501937,0.001270632,0,0,0.000108689,0,1.98E-05,8.47E-05,0.000103113,0,0,0,0,0,0,0,0,0,0.000253172,0,0,0.000538598,0,0.000491763,0,0,0,0,0,0,0.000309854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU43,0,0.000212815,0,0,0.00012318,0,0.00016848,0,0,0.000299002,0,0,0,0,0,0,0,0.000434783,0.000520408,7.71E-05,0.00304847,0.001615794,0,0,0.000690342,0,0,0.000771924,9.57E-05,0,0,0,0,0,0,0,0.000593315,0,0,0,0.004471197,0,0,0,0.003228937,0,0.000212213,0.000835312,0.002783919,0.002003853,0.001110197,0.003032429,0.000205548,0,0.000537982,0.000259008,0.000490992,0
OTU44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901011,0,0,0,0,0,0,0,0,0,0
OTU45,0,0,0.003769489,0,0,7.76E-05,0,0.000137633,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42E-05,0,0.000585028,0,0,0,0,0,0,0,0,0.000940668,0,0.000798708,0,0,0,0,0.000447737,0,0,0,0,0,0,0,0,3.64E-05,0,9.77E-05,0,0,0,0,0.000167594,0,0
OTU46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030283305,0,0,0,0.001516087,0,0,0,0,0,0.000926628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU47,4.71E-05,0.001145447,0.000973342,6.96E-05,0.010723938,0.000176438,0.001050524,0.003197324,0.000131235,0.00023671,0.002112855,0.001053528,0.019784037,0.000589306,0.00381283,0.003812104,0.000864981,0.003400621,0.001744072,0.001972858,0.000483682,0.000328208,0.000471703,0.001178535,2.66E-05,0.000238691,0.000449211,0.001432691,0,0,0,0.001183619,0,0.001921913,0.000138906,5.86E-05,0,0,0,0,0.000855537,0,0,0.000131068,0.001138068,0.000427876,3.98E-05,0.016077412,0.000154662,0.000343273,0.001074219,0.001385033,0.001844373,0,0.000532809,3.05E-05,0.000715273,0
OTU48,0,0,0,0,0,0,0,0,0,0,0,3.19E-05,0,0,0,0,0,0,0,0,0,0.000336624,0,0,0.000172585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153066
OTU49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000448138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU50,0,0,1.18E-05,0.001671091,0.019737843,0.001355042,0.001248736,0.001789231,0.000749913,0.000934382,0.00069899,0.000915186,0.01159858,0.003548932,0,7.88E-05,0.000288327,0.00378882,0.002602042,0.000315966,0.000400947,0.001809353,0.003547203,0.000907218,0.002230335,0,0.001104311,0,0.002854887,0,0.002768699,0,0,0.001093685,0.003646276,0.001882963,0.001772796,0.000824186,0.001359009,0,0.004613786,0.001223964,0.000288375,0,0.003458315,0.020857246,0.004608998,0.010277155,0.0053131,0.004526906,0.009462377,0.008450532,0.023126878,0.018917435,0.015135918,0.031157157,0.028992799,0.017245485
OTU51,0,0,0,0,0,0,0,3.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000282311,0,0,0.000290951,0,0,0,0.000433204,0,0,0,0,0,0
OTU53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000417583,0.00345526,0.00023914,0,0.000141156,0,0.000537164,0,0,0,0.000673314,9.76E-05,0.000344431,0,0.001158731,0,0,0
OTU54,0,0.003342451,0.014387768,0.00087036,0.000731836,0.000155265,0.000287408,0.000296441,0,0.000959298,0.000810193,0.00050016,0.000347353,0.002016736,0,0.003654579,0.002059478,0.00076087,0,0.00067817,0.000929179,0.007027022,0.001301899,0.001076791,0.000278792,0.001367049,0.004052258,0.00093866,0.002129204,0,0.000539746,0.000616816,0.00384691,0.002410355,0.000677166,0.000344355,0,0.000795011,0.001923343,0,0.00248513,0.000866523,0.005099314,0.017159853,0.00229378,0.01229973,0.000371372,0.006504172,0.003748283,0.002724725,0.039802632,0.015314683,0.000861078,0,0,0.000213301,0.03660015,5.10E-05
OTU55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08E-05,6.36E-05,0,0,0.001220929,0,0,0,0,0,0,0,0,0,0,0,0.013019555,0,0.000510558,0.000276409,0.000447737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU56,0.000235283,0,0.000141577,0,0.000101443,0,0,0.000508184,0.000149983,3.74E-05,0.000317723,0,0.000407763,0.000314297,0,0.00025204,0.001318066,0.002437888,0.005837014,0.002920754,0.006777914,0.003997408,0.000132077,0.000585028,0,0,8.42E-05,0,0,0,0,0,0,0,0,0.000124554,0,0.002195398,0.193071359,0,0,0,0.000422012,0.001149367,0,0,0.002055812,0.000732071,0.000336618,0,0.000734992,0.000805394,0.007010838,0.00335809,0.001903629,0.000624667,0.001291128,0.001218862
OTU57,0,0,0,0,0,0,0,0,0.000159357,7.48E-05,0.000111203,0,0.000166126,0.000288105,0,0.000204782,0,0.000108696,0,0,0,6.73E-05,0.000547175,0.000678294,0.00015931,0.00063651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000324951,0,0,0,0,0.000244059,0,0,0.001474278,0,0,0
OTU58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000344846,0,0,0,0,0,0,0,0,0,0,0
OTU59,0,0,0.001675328,0,0,0,5.95E-05,0.01142355,0,0.001681887,0,0,0.000362456,0,0,0,0,0,0,0.000377617,0,0.000597507,0.033339937,0.000822431,0.003690674,0.00913536,0.003275497,0.005823396,0.00114036,0,0.014693094,0.00324245,0.005980962,0.002590866,0,0.000183168,0,0,0.000575851,0,0,0,0,0,0,0,0.000271898,0,0,0,0,0,0.005127578,0,0.005084965,0.003709911,0.001200204,0.001122487
OTU60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000423033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82E-05,0,0,0,0,0,0,0,0,0
OTU62,0.00014117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000139752,0,0,0.000108192,0.000412364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU64,0,0.000838742,0.000165173,0,0.000550689,0.000289358,0,0,0.0006468,0,0.002907161,0.00069171,0.000724911,0.002173885,0.000793721,0.000708862,0.001606393,0.000900621,0.00157529,0.000947897,0.000661881,0.001986081,0.00258493,0.001610948,0.000477929,0.007688747,0.00149737,0.001599427,0.001068589,0,0,0.005501329,0.00306068,0.003610223,0.000173632,0.000776631,0,8.75E-05,0.000610402,0.002308645,0.000835167,0.000834028,0.002925951,0.000917477,0.00442876,0,0.002553186,0.003482031,0.000636844,0,0,0.00020745,0.003288761,0.001265786,0,0.001416927,0.002079141,0
OTU65,0.000250969,0,3.54E-05,0.000461291,0.000181148,0.00014115,0.003151573,0,0.000299965,0.001881221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109901,0,0.000262572,0.000207306,0,0,0,0,0,0,0,0,0,0,0,0,0.001116569,0,0,0,0,0,0
OTU66,5.49E-05,0,1.18E-05,3.48E-05,0,3.53E-05,0,0,0,4.98E-05,0,0,0,0,0,0.000110267,0,0,0.000140651,0.000115597,2.55E-05,0,0,0,2.66E-05,0,0,0,0,0,5.00E-05,0,0,0,0,2.20E-05,0,3.65E-05,0,0.000132922,0,0,0,0,0,0,0,0,0,4.72E-05,0,0,1.67E-05,7.51E-05,0,0,0,4.54E-05
OTU67,0.002760654,0.011936431,0.002642772,0.003533661,0.001543378,0.006732866,0.000366692,0.003260847,0.0004312,0.000286544,0.008896232,0.001159945,0.00039266,0.002710808,0,0.002315617,0.012562814,0.00826087,0.004121072,0.008053267,0.003614887,0.007876998,0.001037746,0.000805474,0.003119814,0.001301951,0,0.000932484,0.000829353,0,0.00246884,0.001600387,0,0.00043535,0.000520897,0.000652077,0,0.001006528,0,0,0,0,0,0.001098956,0,0,0.006691336,0.065473453,0.006950699,0.000351854,0,0,0.001972146,0.011750426,0.000584538,0.000274244,0.002624688,0.016151343
OTU68,0.000101956,0.000832483,0.0006194,0.000957396,0.000550689,0.000515198,0.001892926,0.00048701,0.005061915,0.00071013,0.003987418,0.002181547,0.002552292,0.001361952,0.000682452,0.004111402,0.005066315,0.00121118,0.001012687,0.000670463,0.001260119,0.001893509,0.000509439,0.0006359,0.000916031,0.000245924,0.001637749,0.000191437,0.000247211,0,0.000759643,0,0.001024907,0.000806991,0,0,0,0,0,0.000293828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000184955,0,0.000601813,0.000606163,0
OTU69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000173632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU70,0,0,3.54E-05,0,0,0,0,0,0,0,4.77E-05,8.51E-05,0.000226535,0,0,6.30E-05,0,0,0,0.00013101,0.000101828,0.000294546,0,0,0.000212413,5.06E-05,2.81E-05,0,8.77E-05,0,0,0,0,0,0,0,0,0.000116699,0,0,8.15E-05,0,0,0,0,0,0,0,0,0,0,7.32E-05,0,0,0,0,0,0
OTU71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08E-05,0,0,0,0,0,0.000151894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU73,0,0,0.000212366,0.000600548,0.000427508,0,0,0,0,0,0.000270064,0.000851336,0.00058899,0.000301201,0,0.000677357,0,0.000295031,0.000295367,2.31E-05,0.003360318,0.001683119,0.000811328,0.00153464,0,0.001186222,0.004426601,0.000864555,0.000558218,0,0.000199906,0.000116695,0.002541207,0.002357263,0.001892591,0.001465341,0.001858577,0.003070639,0.002913807,0.001168314,0.005428583,0,0.003952847,0.000615012,0,0.008048139,0,0.000140783,0,0,0.000827508,0,0,0,7.24E-05,0.000213301,0,0.000187081
OTU74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU75,0,0,0,0,0,0,0,0,0,2.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU76,0.005913447,0.004400268,0.0012329,0.002454415,0.002021607,0.000832786,0.000683832,0.000434074,0.001706053,0,0.007402936,0.000351176,0,0.000550019,0.002544359,6.30E-05,0.001688772,0.01939441,0.002925539,0.000115597,0.001101013,0.001565301,0.005320805,0.003120151,0.005536011,0.001012629,0.001169821,0.00792303,0.003524749,0.016905492,0.01274401,0.001783764,0.000996827,0.00294127,0.001354331,0.000197821,0.000142967,0.001342037,0.000368545,0.003707824,0.001038866,0,0.000175838,0.000292383,0.00600794,0.000237709,0.00088201,0,0.000336618,0,0,0.001397236,0.002861,0.005028466,0.101652743,0.000944618,0.029726257,0.001604363
