Vineyard	location	variety	samplincdoe
a	Rauenberg	Müller.Thurgau	VIII
b	Rauenberg	Silvaner	IX
c	Ringsheim	Müller.Thurgau	I
d	Eichstetten	Müller.Thurgau	II
e	Ihringen	Müller.Thurgau	III
f	Ihringen	Müller.Thurgau	IV
g	Ihringen	Müller.Thurgau	V
h	Ihringen	Müller.Thurgau	VI
i	Ihringen	Müller.Thurgau	VII
j	Ihringen	Silvaner	X
